test_row,ensemble_probability,shap_base_value,sum_shap_values,reconstructed_probability,absolute_reconstruction_error
0,4.440305991937911e-05,0.2002737159826043,-0.2002293129226849,4.440305991940119e-05,2.2077066737236084e-17
1,0.9991517176115672,0.2002737159826043,0.798878001628963,0.9991517176115674,2.220446049250313e-16
2,0.9944314712300192,0.2002737159826043,0.7941577552474121,0.9944314712300164,2.7755575615628914e-15
3,0.9981621812887738,0.2002737159826043,0.7978884653061712,0.9981621812887755,1.7763568394002505e-15
4,1.8372120852481745e-05,0.2002737159826043,-0.20025534386175137,1.8372120852927498e-05,4.457527825584701e-16
5,0.9877548012163352,0.2002737159826043,0.7874810852337317,0.987754801216336,7.771561172376096e-16
6,7.827972185347894e-05,0.2002737159826043,-0.2001954362607506,7.827972185370236e-05,2.2341341016779426e-16
7,0.989639541547263,0.2002737159826043,0.7893658255646583,0.9896395415472625,4.440892098500626e-16
8,0.9941792287116982,0.2002737159826043,0.7939055127290953,0.9941792287116995,1.3322676295501878e-15
9,0.9978319037415212,0.2002737159826043,0.7975581877589183,0.9978319037415226,1.4432899320127035e-15
10,0.0025463206121687,0.2002737159826043,-0.19772739537043554,0.002546320612168751,5.074066167232161e-17
11,0.9982333607309584,0.2002737159826043,0.7979596447483555,0.9982333607309597,1.3322676295501878e-15
12,0.9985282844023956,0.2002737159826043,0.7982545684197926,0.9985282844023968,1.2212453270876722e-15
13,0.9973849467396227,0.2002737159826043,0.7971112307570201,0.9973849467396243,1.5543122344752192e-15
14,0.3167149951093436,0.2002737159826043,0.11644127912673917,0.3167149951093435,1.1102230246251565e-16
15,0.9911869282212042,0.2002737159826043,0.790913212238602,0.9911869282212062,1.9984014443252818e-15
16,0.8776669377734075,0.2002737159826043,0.6773932217908037,0.8776669377734081,5.551115123125783e-16
17,0.9935507715497168,0.2002737159826043,0.7932770555671128,0.9935507715497172,3.3306690738754696e-16
18,0.0997715505565555,0.2002737159826043,-0.10050216542604881,0.09977155055655548,1.3877787807814457e-17
19,9.958992572194325e-05,0.2002737159826043,-0.20017412605688237,9.958992572192682e-05,1.6425662913155392e-17
20,0.1077521161481622,0.2002737159826043,-0.09252159983444211,0.10775211614816219,1.3877787807814457e-17
21,0.9983455230059346,0.2002737159826043,0.798071807023332,0.9983455230059364,1.7763568394002505e-15
22,0.990086674325932,0.2002737159826043,0.7898129583433293,0.9900866743259336,1.5543122344752192e-15
23,0.9983358413584448,0.2002737159826043,0.7980621253758391,0.9983358413584433,1.4432899320127035e-15
24,0.1638981844082959,0.2002737159826043,-0.03637553157430829,0.163898184408296,1.1102230246251565e-16
25,0.9993254215729408,0.2002737159826043,0.7990517055903332,0.9993254215729375,3.3306690738754696e-15
26,0.996996183484378,0.2002737159826043,0.7967224675017756,0.9969961834843799,1.887379141862766e-15
27,2.796697942904987e-05,0.2002737159826043,-0.20024574900317516,2.7966979429139283e-05,8.941279791216394e-17
28,0.9994958147909652,0.2002737159826043,0.7992220988083603,0.9994958147909645,6.661338147750939e-16
29,0.9954507319207326,0.2002737159826043,0.7951770159381263,0.9954507319207306,1.9984014443252818e-15
30,0.9991910450818868,0.2002737159826043,0.7989173290992818,0.9991910450818862,6.661338147750939e-16
31,0.991127087786444,0.2002737159826043,0.7908533718038381,0.9911270877864424,1.5543122344752192e-15
32,0.9967553661406344,0.2002737159826043,0.7964816501580286,0.996755366140633,1.4432899320127035e-15
33,4.443892316837119e-05,0.2002737159826043,-0.20022927705943577,4.4438923168521605e-05,1.5041272264162964e-16
34,5.443804578013436e-05,0.2002737159826043,-0.2002192779368242,5.4438045780091926e-05,4.243296252565143e-17
35,0.0001641888701516,0.2002737159826043,-0.2001095271124527,0.00016418887015159922,7.860465750519907e-19
36,2.3988566378930943e-05,0.2002737159826043,-0.2002497274162252,2.3988566379085086e-05,1.5414305574133758e-16
37,3.320627608151794e-05,0.2002737159826043,-0.2002405097065227,3.320627608158211e-05,6.417121608398579e-17
38,4.8862073481657575e-05,0.2002737159826043,-0.20022485390912273,4.8862073481564794e-05,9.278060091044704e-17
39,2.8571228114325804e-05,0.2002737159826043,-0.20024514475449,2.8571228114282476e-05,4.332742931795197e-17
40,4.89373867123792e-05,0.2002737159826043,-0.20022477859589174,4.893738671254977e-05,1.7056533052270395e-16
41,4.678427045758301e-05,0.2002737159826043,-0.20022693171214667,4.678427045762268e-05,3.9668246985813393e-17
42,3.832731465355238e-05,0.2002737159826043,-0.20023538866795043,3.832731465386319e-05,3.1080688153370395e-16
43,2.684348521050634e-05,0.2002737159826043,-0.2002468724973935,2.6843485210786833e-05,2.8049326641736705e-16
44,0.2159557964031038,0.2002737159826043,0.015682080420499792,0.21595579640310408,2.7755575615628914e-16
45,0.4579755502412964,0.2002737159826043,0.2577018342586919,0.4579755502412962,1.6653345369377348e-16
46,2.632091879003797e-05,0.2002737159826043,-0.2002473950638139,2.6320918790401215e-05,3.6324499723232317e-16
47,0.0005277339302386,0.2002737159826043,-0.19974598205236532,0.0005277339302389716,3.716645047280309e-16
48,2.5455063619196e-05,0.2002737159826043,-0.2002482609189847,2.545506361958938e-05,3.9337904136384216e-16
49,2.5234016579723925e-05,0.2002737159826043,-0.20024848196602416,2.5234016580139018e-05,4.150935779996534e-16
50,0.0008779917344522,0.2002737159826043,-0.19939572424815177,0.0008779917344525212,3.2124910370745496e-16
51,0.0042241743735232,0.2002737159826043,-0.19604954160908078,0.004224174373523515,3.148523108897905e-16
52,3.779000775858128e-05,0.2002737159826043,-0.2002359259748455,3.779000775880337e-05,2.220852625064995e-16
