comparison,TPR_gap_absolute,FPR_gap_absolute,precision_gap_absolute,accuracy_gap_absolute
Female vs Male,0.08097165991902844,0.030303030303030297,0.05882352941176472,0.05968169761273201
JHS1 vs JHS2,0.2898550724637682,0.05263157894736842,0.04347826086956508,0.003501400560224077
