metric,mean,sd,mean_minus_sd,mean_plus_sd
accuracy,0.9545454545454547,1.1702778228589004e-16,0.9545454545454546,0.9545454545454548
precision,0.9655172413793103,1.1702778228589004e-16,0.9655172413793102,0.9655172413793104
recall,0.875,0.0,0.875,0.875
macro_f1,0.9432931230023713,0.0,0.9432931230023713,0.9432931230023713
auc_roc,0.9897836538461539,0.0008908696624015963,0.9888927841837523,0.9906745235085554
auc_pr,0.976259134358416,0.0010900389353897357,0.9751690954230263,0.9773491732938058
brier_score,0.03607762699019222,0.0011193017659747475,0.034958325224217476,0.037196928756166966
