subgroup_variable,subgroup,n_seeds,n_test_observations,not_at_risk,at_risk,accuracy_mean,accuracy_sd,precision_mean,precision_sd,recall_TPR_mean,recall_TPR_sd,macro_f1_mean,macro_f1_sd,FPR_mean,FPR_sd,FNR_mean,FNR_sd
class_level,JHS1,10,42,19,23,0.9523809523809523,0.0,0.9565217391304349,1.1702778228589004e-16,0.9565217391304349,1.1702778228589004e-16,0.9519450800915333,1.1702778228589004e-16,0.05263157894736842,0.0,0.04347826086956521,7.314236392868128e-18
class_level,JHS2,10,68,59,9,0.9558823529411764,1.1702778228589004e-16,1.0,0.0,0.6666666666666667,1.1702778228589004e-16,0.887603305785124,0.0,0.0,0.0,0.33333333333333337,5.851389114294502e-17
gender,F,10,58,45,13,0.9827586206896551,0.0,1.0,0.0,0.9230769230769231,0.0,0.9745054945054946,1.1702778228589004e-16,0.0,0.0,0.07692307692307691,1.4628472785736255e-17
gender,M,10,52,33,19,0.9230769230769231,0.0,0.9411764705882353,0.0,0.8421052631578947,0.0,0.9150326797385621,0.0,0.030303030303030297,7.314236392868128e-18,0.15789473684210525,0.0
