cell,cell_description,n_seeds,xgb_weight_mean,xgb_weight_sd,lgbm_weight_mean,lgbm_weight_sd,accuracy_mean,accuracy_sd,precision_mean,precision_sd,recall_mean,recall_sd,macro_f1_mean,macro_f1_sd,auc_roc_mean,auc_roc_sd,auc_pr_mean,auc_pr_sd,brier_score_mean,brier_score_sd,TN_mean,TN_sd,FP_mean,FP_sd,FN_mean,FN_sd,TP_mean,TP_sd
A,50:50 ensemble without attendance_decay,10,0.5,0.0,0.5,0.0,0.9672727272727272,0.004694525268130233,0.9525134408602153,0.015828802955565793,0.934375,0.009882117688026184,0.9601276487785556,0.0056076949808342835,0.9924278846153847,0.0003984090248444801,0.983259754583738,0.0010996881119880201,0.030273954965008114,0.0010351274787640987,76.5,0.5270462766947299,1.5,0.5270462766947299,2.1,0.31622776601683794,29.9,0.3162277660168379
B,50:50 ensemble with attendance_decay,10,0.5,0.0,0.5,0.0,0.9545454545454547,1.1702778228589004e-16,0.9655172413793103,1.1702778228589004e-16,0.875,0.0,0.9432931230023713,0.0,0.989102564102564,0.0008613523235361852,0.975429296751145,0.0016265319148748589,0.03675135803748342,0.0005537671739247363,77.0,0.0,1.0,0.0,4.0,0.0,28.0,0.0
C,validation-selected ensemble with attendance_decay,10,0.26999999999999996,0.10593499054713802,0.73,0.10593499054713804,0.9545454545454547,1.1702778228589004e-16,0.9655172413793103,1.1702778228589004e-16,0.875,0.0,0.9432931230023713,0.0,0.9897836538461539,0.0008908696624015963,0.976259134358416,0.0010900389353897357,0.03607762699019222,0.0011193017659747475,77.0,0.0,1.0,0.0,4.0,0.0,28.0,0.0
