model_seed,xgb_weight,lgbm_weight,accuracy,precision,recall,macro_f1,auc_roc,auc_pr,brier_score,tn,fp,fn,tp
42,0.1,0.9,0.9545454545454546,0.9655172413793104,0.875,0.9432931230023713,0.9915865384615384,0.9784549608494895,0.03358713279820216,77,1,4,28
43,0.4,0.6,0.9545454545454546,0.9655172413793104,0.875,0.9432931230023713,0.9899839743589743,0.9768592237243987,0.03601857862231415,77,1,4,28
44,0.3,0.7,0.9545454545454546,0.9655172413793104,0.875,0.9432931230023713,0.9887820512820512,0.974456601999274,0.03649145115384315,77,1,4,28
45,0.3,0.7,0.9545454545454546,0.9655172413793104,0.875,0.9432931230023713,0.9891826923076923,0.9757286193767656,0.03756610519147358,77,1,4,28
46,0.3,0.7,0.9545454545454546,0.9655172413793104,0.875,0.9432931230023713,0.9891826923076923,0.9758152976514478,0.03691190832470391,77,1,4,28
47,0.4,0.6,0.9545454545454546,0.9655172413793104,0.875,0.9432931230023713,0.9891826923076923,0.9757423402814751,0.036668219285628585,77,1,4,28
48,0.3,0.7,0.9545454545454546,0.9655172413793104,0.875,0.9432931230023713,0.9891826923076923,0.9758152976514478,0.0367725371311239,77,1,4,28
49,0.2,0.8,0.9545454545454546,0.9655172413793104,0.875,0.9432931230023713,0.9895833333333334,0.9759251061830982,0.036029972475856285,77,1,4,28
50,0.1,0.9,0.9545454545454546,0.9655172413793104,0.875,0.9432931230023713,0.9907852564102564,0.976452488514075,0.035627396194189205,77,1,4,28
51,0.3,0.7,0.9545454545454546,0.9655172413793104,0.875,0.9432931230023713,0.9903846153846153,0.9773414073526889,0.03510296872458727,77,1,4,28
