rank,feature,mean_abs_shap
1,score_t2,0.1539138288942094
2,score_t1,0.13506466668022607
3,attendance_t2,0.03829822915808448
4,academic_year_2022-23,0.03227693542752896
5,age_years,0.02645329495444148
6,attendance_t1,0.018019555498771017
7,academic_year_2023-24,0.014800326237699868
8,gender_F,0.005247275349931142
9,class_level_JHS1,0.0023961113360041228
10,class_level_JHS2,0.0013200803843915513
11,gender_M,0.0010765746663163058
